"taxon"
"Abies"
"Acer"
"Alnus"
"Betula"
"Carya"
"Corylus"
"Cupressaceae/Taxaceae"
"Cyperaceae"
"Fagus"
"Fraxinus"
"Juglans"
"Larix"
"Liquidambar"
"Ostrya/Carpinus"
"Picea"
"Pinus"
"Platanus"
"Poaceae"
"Populus"
"Prairie Forbs"
"Quercus"
"Salix"
"Tilia"
"Tsuga"
"Ulmus"
