"taxon"
"ABIES"
"ACER"
"ALNUS"
"AMBROSIA"
"APIACEAE"
"ARTEMISIA"
"ASTERX"
"BETULA"
"BRASSICACEAE"
"CACTACEAE"
"CARYA"
"CARYOPHYLL"
"CASTANEA"
"CHENOPODS"
"CHRYSOLEP"
"CORNUS"
"CORYLUS"
"CUPRESSACEAE"
"CUPRESSAX"
"CYPERACEAE"
"EPHEDRA"
"ERICACEX"
"ERIOGONUM"
"FABACEAE"
"FAGUS"
"FRAXINUS"
"JUGLANS"
"LARIX"
"LARREA"
"LIQUIDAMBAR"
"NYSSA"
"OSTRYA/CARPINUS"
"PICEA"
"PINUS"
"PLANTAGINX"
"PLATANUS"
"POACEAE"
"POPULUS"
"PROSOPIS"
"QUERCUS"
"RUMEX"
"SALIX"
"SARCOBATUS"
"TAXUS"
"TILIA"
"TSUGA"
"ULMUS"
